,wns_bukken_cd,shinkoyo_nohimbi_cd,hojin_cd,madoguchi_cd,chiho,coupon_flg,fair_flg,sd_flg,kuchikomi_flg,maker_name,shashu,brand_cd,renno,fmc,mc_cd,grade_cd,grade_kukuri_cd,body_type_cd,body_type_name,kei_jidosha_flg,haikiryo,year,month,distance,price,total_price,csa_hosho_flg,str_hosho_flg,plan_flg,grade_hoki_flg,movie_flg,mylist_msg_flg,keisai_comment_flg,nintei_flg,gazo_cnt,caption_cnt,y_nintei_flg,kakudai_flg,keisai_shufukureki_hyojikbn_cd,ksai_shaken_tukinashi_cd,shaken_hyojiyo,shaken_kensakuyo,keisai_iro_kj,white_flg,pearl_flg,red_flg,blue_flg,dark_blue_flg,green_flg,black_flg,brown_flg,gold_flg,silver_flg,yellow_flg,orange_flg,peach_flg,purple_flg,gray_flg,sonota_flg,si_iro_kj,mission_flg,mt_mode_at_flg,handle_flg,air_conditioner_flg,power_steering_flg,power_window_flg,air_bag_flg,joshuseki_air_bag_flg,side_air_bag_flg,abs_flg,esc_flg,keyless_flg,md_flg,cd_flg,cd_navigation_flg,dvd_navigation_flg,hdd_navigation_flg,sunroof_flg,hongawa_sheet_flg,etc_flg,back_monitor_flg,dis_charged_lamp_flg,full_aero_flg,low_down_flg,aluminum_wheel_flg,nonsmoking_car_flg,one_owner_flg,dealer_car_flg,teiki_tenkenbo_flg,fukushisha_flg,four_wheel_drive_flg,seibi_flg,hosho_flg,memory_navigation_flg,n_parallel_importcar_flg,u_parallel_importcar_flg,endgine_flg,turbo_flg,w_aircon_flg,tv_flg,kanreichi_flg,tounan_boushi_flg,dendo_seat_flg,fullflat_seat_flg,bench_seat_flg,sanretsu_seat_flg,walk_threw_flg,mishiyosha_flg,slide_door_flg,same_shashu,keisai_days,del_cd,del_date,y_cs,p_cs,y_other,p_other,kuchikomi_cnt,katashiki,cnt_total_price,avg_total_price,min_total_price,predicted_price
810772,U00012656926,150102,303968,1,福岡県,1,0,0,1,ダイハツ,ムーヴ,DA,S012,F003,M001,G010,K054,D,ハッチバック,1.0,660,2003,2,107000,289000.0,389000.0,0,1,0,0,0,0,1,0,15,9,0,4,1,1.0,車検整備付,0,グレーメタリック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,灰Ｍ,13,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,T,0,0,0,0,0,1,1,0,0,0,0,1.01868446482483,100,C99,20150718.0,0,0.0374522,0,0.148028,4,LA-L152S,445,338296.629213483,80000.0,314028.848371644
5301564,UZ0014935617,150403,219007,1,山梨県,0,0,0,1,ホンダ,レジェンド,HO,S033,F003,M005,G003,K019,S,セダン,0.0,3700,2011,11,29000,2980000.0,3212000.0,0,1,0,1,0,0,0,0,19,7,0,1,0,,28.11,19,アルバータホワイトパール,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,白真珠,4,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1.05612552806276,126,C97,20150806.0,0,0.074008,0,0.12000999999999999,4,DBA-KB2,1,3212000.0,3212000.0,2410771.59679913
4924075,UZ0013173022,141107,51721,115,宮城県,1,1,0,1,スバル,R1,SB,S001,F001,M005,G010,K016,D,ハッチバック,1.0,660,2010,3,5000,1459000.0,1558000.0,0,1,0,0,0,0,1,0,8,8,0,1,0,,27.3,4,シルキーホワイトパール,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,真珠白,33,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.03167041977019,126,C02,20150313.0,0,0.026904900000000002,0,0.124821,16,DBA-RJ2,156,1082493.58974359,328000.0,1041859.64454782
4500543,UD0015293572,150703,81727,5,滋賀県,0,0,0,0,スズキ,ソリオ,SZ,S014,F002,M002,G001,K007,D,ハッチバック,0.0,1200,2013,3,52000,780000.0,900000.0,0,1,1,0,0,0,1,0,18,0,0,1,0,,28.3,8,シルバー,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,銀,33,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.00964856680048,26,E11,20150903.0,0,0.0115537,0,0.14430199999999999,0,DBA-MA15S,72,1242055.55555556,739000.0,969512.464307753
4635857,UJ0013369648,141003,30121,1,愛知県,1,1,0,1,三菱,ミニキャブバン,MI,S016,F003,M009,G005,K010,D,ハッチバック,1.0,660,2007,6,61000,398000.0,534000.0,0,1,1,1,0,1,1,0,17,12,0,4,0,1.0,車検整備付,0,ホワイトソリッド,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,白,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.010482243898,12,C01,20141014.0,0,0.032983099999999994,0,0.28680500000000003,54,GBD-U61V,1001,717808.1918081921,150000.0,449456.895968482
